"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","308XBLVESQRT5FVYEHDH8AJIVSIRB5","A5GSJYGCTADR6","Submitted","Thu Jan 13 17:31:29 PST 2022","Thu Jan 13 17:46:18 PST 2022","Tue Jan 18 17:46:18 PST 2022","","","","889","0% (0/0)","0% (0/0)","0% (0/0)","69990"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","30JNVC0ORH73KRJK1UYDPVCBUJLQHJ","A22HIX1M4QXZBB","Submitted","Thu Jan 13 17:30:56 PST 2022","Thu Jan 13 17:55:54 PST 2022","Tue Jan 18 17:55:54 PST 2022","","","","1498","0% (0/0)","0% (0/0)","0% (0/0)","88612"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","30ZX6P7VFGIIJECPNJBX5QUNR5BJ23","A3O9MTZ2S9TJEO","Submitted","Thu Jan 13 17:31:07 PST 2022","Thu Jan 13 18:19:20 PST 2022","Tue Jan 18 18:19:20 PST 2022","","","","2893","0% (0/0)","0% (0/0)","0% (0/0)","39611"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","31EUONYN23Q5HG1OR6NDFR8KNXEVO6","ATSG82EPAM963","Submitted","Thu Jan 13 18:31:38 PST 2022","Thu Jan 13 18:51:25 PST 2022","Tue Jan 18 18:51:25 PST 2022","","","","1187","0% (0/0)","0% (0/0)","0% (0/0)","49885"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","31JLPPHS22HL57Z57WH7WWG1WDLO32","AVXEDARJC5HLU","Submitted","Thu Jan 13 19:31:47 PST 2022","Thu Jan 13 20:13:38 PST 2022","Tue Jan 18 20:13:38 PST 2022","","","","2511","0% (0/0)","0% (0/0)","0% (0/0)","71379"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","31UV0MXWNYZEN0B6NKSVRWIZY0DI5R","A37JC45Y9GLSA7","Submitted","Thu Jan 13 17:30:55 PST 2022","Thu Jan 13 17:56:58 PST 2022","Tue Jan 18 17:56:58 PST 2022","","","","1563","100% (1/1)","100% (1/1)","0% (0/0)","32962"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","32AT8R96GTWK2T4HTXUH3AG26F8SUB","A173A97OFDAX9F","Submitted","Thu Jan 13 17:31:06 PST 2022","Thu Jan 13 17:44:18 PST 2022","Tue Jan 18 17:44:18 PST 2022","","","","792","0% (0/0)","0% (0/0)","0% (0/0)","47961"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","32VNZTT0AFR9KGAPZ23U0WDCL0B4RM","A2U1BB6W3GK3D9","Submitted","Thu Jan 13 18:32:30 PST 2022","Thu Jan 13 19:03:13 PST 2022","Tue Jan 18 19:03:13 PST 2022","","","","1843","0% (0/0)","0% (0/0)","0% (0/0)","22610"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","32XVDSJFP7K8KMIAQGOPLIM4VZKM2O","AFEMP7DRLXX8E","Submitted","Thu Jan 13 19:45:26 PST 2022","Thu Jan 13 19:55:31 PST 2022","Tue Jan 18 19:55:31 PST 2022","","","","605","0% (0/0)","0% (0/0)","0% (0/0)","53121"
"31GN6YMHMWFV8DVSYV4GWF5B5V0SWQ","37D300AOKUPRVL0O6GBTL43VK4YIDZ","Score computer generated poetry","Review a series of poems and score their quality","survey, reading","$2.00","Thu Jan 13 17:30:53 PST 2022","104","BatchId:4648358;OriginalHitTemplateId:920937340;","3600","432000","Sun Jan 16 13:49:35 PST 2022","","","32ZKVD547NA1MDAW3RCLQCG2PE33BE","AKP66RIZ3LQVX","Submitted","Thu Jan 13 17:31:18 PST 2022","Thu Jan 13 18:12:01 PST 2022","Tue Jan 18 18:12:01 PST 2022","","","","2443","0% (0/0)","0% (0/0)","0% (0/0)","23129"
